"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing"
"fully_adjusted",-0.0170604356547189,0.5696267076818,NA,0.347238405813575,0.355215941095236,0.351473420812263,0.366629211505887,0.31241421198978,0.344821717521558,0.347033883410515,NA,0.0673987607727012,0.0439545634054918,0.123183930474416,0.0852665044645343,0.0771666443261299,0.131291182720242,0.0682405655740269,NA,0.344472266974629,0.308244393402622,0.360030173253259,0.399336460532769,0.3775408108196,0.306631818185642,0.465007799411427,NA,0.0951180614971144,0.122672388376347,0.0702173744894015,0.196098983728487,0.142757156313159,0.1322889720145,0.0994730862424391,NA
"unadjusted",-0.0161200741883353,1.64401079794647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0160566551583743,0.562660920867915,NA,0.348055376142717,0.355099937352539,0.349867740195222,0.365916082748631,0.312905121451039,0.345214325788707,0.347632709778108,NA,NA,NA,NA,NA,NA,0.129991191555181,NA,NA,0.344170592951615,0.308214175233766,0.357292721308951,0.398200488407915,0.37571924018452,0.304943397282729,0.463108195349202,NA,NA,NA,NA,0.194342155170949,NA,NA,NA,NA
"two_step_lasso_X",-0.0172018434839486,0.569175489065303,NA,0.350541154080833,0.35626680767444,0.354973531371525,0.368233675753092,0.314005236722948,0.347468509626307,0.348926261855928,NA,0.0698392575230565,0.0447145167337986,0.124694750608153,0.0896802695887837,0.0813739123408494,0.13234021192061,0.0686846930769616,NA,0.347413935100973,0.30968850790334,0.36112072880972,0.401070624366383,0.378863577964769,0.308736675446232,NA,NA,0.0970210411401401,0.122366720860516,0.0733197841621787,NA,NA,0.135008743762374,NA,NA
"two_step_lasso_union",-0.0169513905052686,0.569726614831418,NA,0.347152125942841,0.355026035803632,0.351217921910928,0.366535593346395,0.312322928109598,0.344693368975242,0.347017192867091,NA,0.0671491503008152,0.0440051385702495,0.122969414782394,0.0850367996009298,0.0769986730912172,0.131091046376498,0.0677866590619759,NA,0.344355957436797,0.30801864650613,0.359846445980597,0.399238159331064,0.377293228391309,0.30645410483211,0.464572544390396,NA,0.0950059066200138,0.122559259135212,0.0701174571143055,0.195790977945153,NA,0.131941675790243,0.099348671694787,NA
