"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.0108043533688945,0.591721841362944,NA,0.363842727924749,0.373651491710683,0.3489446045731,0.350610887987001,0.358141374588876,0.349750461504892,0.358945852036944,NA,0.0953021409828522,0.0867553127575349,0.0833053069475892,0.070788961790437,0.0902892330579723,0.108988320745803,0.0993302101619122,NA,0.373307835864961,0.339559032617672,0.380488101434097,0.359400778901847,0.382193079183138,0.370640661555773,0.365736134920078,NA,0.103631388937201,0.100998401252015,0.131472863590005,0.0877409076676142,0.103029680482807,0.107535375366164,0.0964502852228978
"unadjusted",0.0087095750564277,1.66157270235619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.0108044742007996,0.591739830879172,NA,0.363842028253229,0.373650889737561,0.34894264908953,0.350612319273936,0.35813998061295,0.349747108388237,0.358947168697438,NA,NA,0.0867530274314139,0.0833081522489392,0.0707868709829912,0.0902900089283037,0.108989377529164,0.099326197348914,NA,0.373310647767239,0.339558226178022,0.380492996732829,0.359403869595706,0.382196151139375,0.37064255834834,0.365736389574197,NA,0.103636231577711,0.101000990664887,0.131475316597475,0.0877448166744291,0.10303513863238,0.107539341846834,0.0964523108597123
