"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",-0.010736355768518,0.568497394202246,NA,0.355985700561629,0.355215434301987,0.340884313248888,0.372287654360816,0.388467762691029,0.368582701912381,0.358231136170882,NA,0.0883060523925957,0.0901370572550368,0.111552160368631,0.122429812174426,0.0905075681852666,0.0887690864594887,0.0674180552248746,NA,0.335539107278715,0.412074832214571,0.297212668581316,0.377953128504595,0.360001588069943,0.374558785359428,0.409357667909485,NA,0.110425501653503,0.0931873664113994,0.072966477566055,0.0858815131750581,0.092719494684331,0.168936490221084,0.16933620778971
"unadjusted",-0.00887204163872813,1.68264437459445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0107133538996381,0.564721384548504,NA,0.355456945013144,0.355198681856557,0.340610877145493,0.372347255932753,0.386878152373377,0.366910960467946,0.357774196678876,NA,NA,NA,NA,0.121604115318635,NA,0.0886917666923087,NA,NA,0.334127172967263,0.411683022714449,0.295709939444483,0.376953891414155,0.357329466641021,0.37376253101291,0.408178567365563,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso_X",-0.0127404416359906,0.567706778749899,NA,0.358493592587481,0.353820693278472,0.341373378582081,0.374042766444718,0.395147516151457,0.37341385896465,0.360171710483422,NA,0.0905278688172813,0.091350846740312,0.112681164776838,0.127927652880688,0.094584857519429,0.0912120135813296,0.0704040020354854,NA,NA,0.415111269962849,0.301599473838026,0.379240692034527,0.361337033931033,NA,0.410239818328393,NA,0.112012510355445,NA,0.0758206291757137,NA,0.0974600264466966,0.173985487521171,0.171797614487639
"two_step_lasso_union",-0.0107480815933541,0.568494355940712,NA,0.356004282523302,0.355237521027165,0.340919821448277,0.372286716498834,0.388486951407952,0.368590116379675,0.358266692965895,NA,0.088281761218014,0.0901206400068771,0.11159709307399,0.122457418204579,0.0904844488145261,0.0887634747966865,0.0674326875810453,NA,0.3356003791771,0.412121082138392,0.297195266601921,0.377996596464311,0.360029069836416,0.374560386584242,0.409358197925163,NA,0.110418220219204,NA,0.0729560277735803,NA,0.0926731345983123,0.168947833759589,0.169315407705535
