"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",-0.0296604449063958,0.578615223062744,NA,0.358744414741591,0.373688085753292,0.384435442143411,0.363257852973139,0.319676141750383,0.374869247273795,0.409926815395682,NA,0.073723516269994,0.0911937541393776,0.117646426205947,0.116676644132874,0.111627993566174,0.105291030567043,0.0980613170473374,NA,0.33062920418349,0.396098693587234,0.376160921568912,0.382487984705466,0.352600963388816,0.333701202072925,0.377227183656645,NA,0.0816294041981223,0.0701525628921248,0.107091491117156,0.105716474876386,0.0981504334719347,0.127424633692614,0.0653702778783182
"unadjusted",-0.00376185310149001,1.65911940759392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0309559595943346,0.575722513752785,NA,0.357940875176715,0.373221623415149,0.384090426693349,0.362877858857707,0.31938783133247,0.374603659341599,0.409600085728611,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329973601222201,0.394701458889624,0.37468699379303,0.382321711077722,0.351095260158111,0.332805769891783,0.375998374552652,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso_X",-0.0321888370496252,0.578350064275228,NA,0.36024507752992,0.374210153672884,0.385737943711557,0.363117355153685,0.321808179594674,0.376205938066794,0.41308416906601,NA,0.0774461909723889,0.0934443935792641,0.118440373648857,0.118078499050257,0.116331540057709,0.104291930686028,0.0986672106839066,NA,0.332280470618587,0.395684025929772,0.375866502750618,0.385750515407836,0.354749239551756,0.335595478108608,NA,NA,NA,0.0710718154652889,NA,NA,NA,0.127232902395916,NA
"two_step_lasso_union",-0.0293771185526481,0.578712915158451,NA,0.358584052037341,0.373413881767945,0.384179087794558,0.363036552278933,0.319634315976197,0.374750719242802,0.409982035417906,NA,0.0733309292439224,0.0911224137820834,0.117204847124322,0.116517454823715,0.111463602888656,0.104954648691423,0.0975278643405608,NA,0.330421793771973,0.395721187010995,0.375905213821839,0.382351713906286,0.352117098982774,0.3333221092895,0.376634809101601,NA,0.0814613253348057,0.0698815812956972,0.106750169069862,0.105223438119684,NA,0.12700001804689,NA
