"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.0113122073238155,0.583331121834759,NA,0.360164843115261,0.375458538207514,0.386325896630051,0.366349183530137,0.317306991281903,0.375842288098259,0.409470205667746,NA,0.0790177908990136,0.0936241415719016,0.117247177957417,0.11821459283517,0.110264560206333,0.112314677420371,0.103954310855727,NA,0.332639549627816,0.395347091135841,0.373804452085534,0.382069083123532,0.356481260744624,0.338050881404166,0.383920893479578,NA,-0.0204175574403264,0.0754148949467868,0.113937985118202,0.109380450769469,0.102505278882504,0.128511698187941,0.066823776348172
"unadjusted",-0.00376185310149001,1.65911940759392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00761677134708454,0.580589552380706,NA,0.359249004042679,0.37542533271999,0.385541381556458,0.36547164883399,0.316909630591203,0.375259602115172,0.409522046263103,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331719255388759,0.394502744910463,0.372732522888885,0.38145292887243,0.354526692988914,0.336645712736803,0.382934114660617,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso_X",0.0119514425224337,0.583150154934211,NA,0.361880391677222,0.376478572868563,0.388088900303528,0.366456765722215,0.318978146800016,0.378166346868601,0.412763004446401,NA,0.0831281131202386,0.0964332988607912,0.119197474884418,0.120823870587778,0.11565160952827,0.112095506721673,0.106662419840478,NA,0.335088568136116,0.395020010122677,0.374449326515663,0.38595654066449,0.358884193340191,NA,NA,NA,NA,0.0764586790941603,NA,NA,NA,0.129002535918392,NA
"two_step_lasso_union",0.0115036085353454,0.583374631908459,NA,0.360047514081917,0.375331058554974,0.386214276075356,0.366187627010218,0.317312379682196,0.375802703675454,0.409511605491505,NA,0.07878070510002,0.0935439549398125,0.116922186700674,0.118172979518002,0.11019834832903,0.112100160066783,0.103703513804021,NA,0.332513876118206,0.39513247094952,0.373640308909624,0.38200250971178,0.356178191688995,0.337780955210199,0.383605250755377,NA,-0.020537136374466,0.0751962927143327,0.113663183948417,0.109084596997917,NA,0.128300987174665,NA
