"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing","Z27_missing"
"fully_adjusted",-0.0168006510507534,0.534836650999124,NA,0.37578193576915,0.439811772782449,0.360183095878135,0.336186109141722,0.337799464439823,0.35459289928129,0.367144572847772,NA,0.118611725668832,0.0666188324442285,0.124419407184098,0.0915387194430958,0.105235670449732,0.0468055307684972,0.0996607259609842,NA,0.383897956487335,0.352812026220867,0.344085508699716,0.370870311697481,0.365629105281785,0.345582769415513,0.318647331246139,NA,0.0949502528719147,0.164322488349596,0.159771676784711,0.114835221311983,0.0853129795617431,0.168168334301261,0.145904276930603,NA,NA
"unadjusted",-0.000483507706357256,1.63207514766138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0159421310893844,0.533956313940942,NA,0.37543135842583,0.439429504958049,0.359534792559357,0.336040547015999,0.33818891888613,0.354092961836704,0.367018026695559,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383322339796613,0.351937930845137,0.343480043772401,0.371126502746016,0.364784411623165,0.345742677307011,0.318116647289301,NA,NA,NA,0.159238938860835,NA,NA,0.167664023865923,0.145986577042193,NA,NA
"two_step_lasso_X",-0.0172359973743596,0.533508235597653,NA,0.387291530781465,0.453436435274543,0.368177772118205,0.342832442853268,0.344668767806913,0.359920395800969,0.370558788567149,NA,0.125903311229375,0.0711579779436252,0.132043810533018,0.0968973057518575,0.10636667810344,0.0592120208211292,0.102027964391906,NA,0.395922689868967,0.363362396686263,NA,0.381808232173409,NA,NA,0.32539267299372,NA,NA,NA,0.171430820971098,NA,NA,NA,0.149318771562522,NA,NA
"two_step_lasso_union",-0.0166997564617635,0.534936719382293,NA,0.375704939247882,0.439659230731818,0.359929507165704,0.336094769249306,0.337716250044493,0.354508174061865,0.367132414057259,NA,0.118395902343643,0.0666891103736904,0.124238104911106,0.0913164234970759,0.105061721900922,0.0466261015417998,0.0992276409495961,NA,0.383800480490921,0.352583836986532,0.343908058737371,0.37076339575276,0.365387719127774,0.345418135629776,0.318207723244701,NA,0.09486721255608,0.164227617586392,0.159659667135166,0.11453709084513,NA,0.167823068415558,0.145769773574709,NA,NA
