"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing"
"fully_adjusted",0.00351197905706355,0.572438753684336,NA,0.348088958996383,0.355805886342542,0.350236279166746,0.367148838900753,0.315789110952044,0.342899363405871,0.347246172092275,NA,0.0694718516539133,0.0424969198228797,0.124029722228458,0.0858153417594286,0.0809367718713399,0.133644346291166,0.071057503470069,NA,0.343886359634497,0.308853687482283,0.358189529754346,0.401969671503218,0.381409201861613,0.30632317755994,0.466655424275595,NA,0.0737227208989427,0.124570791386502,0.0726836739351051,0.197880346013474,0.143850776570371,0.128604977618507,0.0995635593701107,-0.0775981689776159
"unadjusted",-0.0161200741883353,1.64401079794647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00191275879907637,0.569027227293796,NA,0.348256574217274,0.356169171943125,0.349421098644003,0.366696512133631,0.315254977073943,0.342753137556503,0.347329019686477,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343230798021452,0.308852387218221,0.356747515310788,0.401560049220883,0.379976484722338,0.306201384934835,0.465666706258637,NA,NA,NA,0.0713413191305835,0.196887856975014,NA,NA,NA,NA
"two_step_lasso_X",-0.0135983652897666,0.571945253651566,NA,0.35169212498898,0.357288933249713,0.353942654638304,0.368150639617607,0.317702952951043,0.346213889581023,0.349059961588572,NA,0.0717699958923288,0.0430021904901239,0.125410873556224,0.089722466975459,0.0855835285086861,0.133905486126587,0.0712846228739425,NA,0.347035332444804,0.310656745567721,0.359941304235327,0.402818951821872,0.382117348510857,0.308702897500025,NA,NA,NA,0.123883874937885,0.0764844230330797,NA,NA,0.131318272177531,NA,NA
"two_step_lasso_union",0.0037218486949769,0.572533326100883,NA,0.348007182816435,0.355613835804582,0.349984703514625,0.367056124312493,0.315696831252555,0.342770104624383,0.347235415958323,NA,0.0692283261703159,0.0425421859748703,0.123828940107812,0.0856024366222691,0.0807780981844067,0.133445314244398,0.0706183653118483,NA,0.343767985859165,0.308630853106127,0.358011065546562,0.40187242704229,0.381168443906966,0.306151309390031,0.466226861359569,NA,0.0735626849296602,0.124467533347926,0.0725822425391598,0.197579021077617,NA,0.128272148482077,0.0994401427887683,-0.077743490316274
