"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",-0.0702354404857316,0.570129592654984,NA,0.35509938955502,0.353208757795368,0.342779833898702,0.371149864187905,0.382023239293616,0.367615296895295,0.36143184011133,NA,0.0829356204975951,0.0921866413352791,0.109831400357059,0.117708769709444,0.0913805917743379,0.0886318336908407,0.0662574566730776,NA,0.327381365669765,0.410605368184921,0.300483121283539,0.376809599307115,0.360908047781118,0.371501049164861,0.40723227187183,NA,0.152534770412444,0.0909868893106978,0.0753545737034974,0.0872021549556516,0.0908718260125554,0.169338338738099,0.165787997738957
"unadjusted",-0.00887204163872823,1.68264437459446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0701281943296714,0.569038802547001,NA,0.354977642850824,0.353067304765647,0.342883931020182,0.371077384568219,0.381956730831267,0.367490436869317,0.361273064133387,NA,NA,0.0920696895135128,NA,0.117582670800237,NA,0.0885506083974209,NA,NA,0.327339519020222,0.41057061323513,0.30031918827961,0.376663343673891,0.360615747668576,0.371325660486397,0.407090868071006,NA,0.152083240404157,NA,NA,NA,NA,0.169111200146443,0.16552823687537
"two_step_lasso_X",-0.0724898813051292,0.56968358013812,NA,0.356402437312092,0.352152318104321,0.342542235144518,0.372730899584621,0.387418616996328,0.37025595381422,0.363354019177534,NA,0.0846756582745289,0.0938422993774184,0.109949373979151,0.123254164703734,0.0947083003823216,0.0906836324975145,0.0675325417617947,NA,0.329245228913061,0.411731951604539,0.303517305241512,0.376796003216058,0.362014508124777,NA,0.40623765649757,NA,0.154562062580536,NA,0.0782447947521701,0.0897385161849774,0.0938946408669653,0.171815968738366,0.165261252694853
"two_step_lasso_union",-0.0702354404857318,0.570129592654983,NA,0.35509938955502,0.353208757795368,0.342779833898702,0.371149864187905,0.382023239293616,0.367615296895295,0.36143184011133,NA,0.0829356204975951,0.092186641335279,0.109831400357059,0.117708769709444,0.091380591774338,0.0886318336908407,0.0662574566730776,NA,0.327381365669764,0.410605368184921,0.30048312128354,0.376809599307116,0.360908047781118,0.371501049164862,0.40723227187183,NA,0.152534770412444,0.090986889310698,0.0753545737034974,0.0872021549556517,0.0908718260125559,0.169338338738099,0.165787997738957
