"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.00527082663130835,0.578443626824653,NA,0.359022470613583,0.373667096040521,0.382237638140987,0.364190375385443,0.315273350516017,0.374166450985579,0.410895604700494,NA,0.0754407512791994,0.0901210330873055,0.116434817289857,0.118274015226176,0.11020240793388,0.105439230154735,0.0996699688907872,NA,0.329963799233902,0.393358856182159,0.373280421344083,0.379272466349974,0.350087363703315,0.335086052734505,0.379524269995223,NA,0.0848033670586763,0.0726367822159665,0.110775913769194,0.108070421012212,0.102175224447371,0.128635109595003,0.0650431865706064
"unadjusted",-0.00376185310149001,1.65911940759392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00624853777898719,0.575170095658189,NA,0.358089028850041,0.373377977591376,0.381924361834818,0.36352863732599,0.314492220101835,0.373789854040057,0.410103964899478,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328985296454157,0.391860616759341,0.37170958710971,0.37899521440715,0.348887630566705,0.33406270033889,0.377965836938057,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso_X",0.00610041431721712,0.578189640008032,NA,0.360365813161863,0.374292823614353,0.38409233115858,0.364188395344942,0.317758972875712,0.375767346077068,0.414576261718533,NA,0.0791359745669585,0.0922201194329663,0.117524131057692,0.120453100339427,0.115185536214345,0.104447640884833,0.101336813681765,NA,0.331743697970335,0.393181653523172,0.3737557057573,0.382386284853041,0.352353461733647,0.337020825438555,NA,NA,0.0857031070860617,0.0734599643508969,NA,NA,NA,0.129136284903261,NA
"two_step_lasso_union",0.00539953421992005,0.57847165910326,NA,0.358914820622837,0.373572867995072,0.382178212600159,0.364039556385935,0.31530236925955,0.374152962214588,0.410936533553165,NA,0.0752456275796889,0.090029721165779,0.116146464062092,0.118271837866806,0.110173423423175,0.105260893265052,0.0994984390180655,NA,0.329852384335515,0.39318361572294,0.373160570000691,0.379234209593406,0.349831881568553,0.334847598430707,0.379294181471808,NA,0.0846409324798669,0.0724345313113874,0.110508640437301,0.107842638896265,NA,0.12848433852443,NA
