"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",-0.0144297394354892,0.58123344125848,NA,0.356063832468952,0.370987351444015,0.363997375279869,0.344028328885165,0.359177481870859,0.340084923930666,0.34502169817842,NA,0.0927008644439561,0.0793342562472095,0.0975116633609849,0.11419923081145,0.102915612841297,0.105051289057695,0.0914014812994153,NA,0.342890273351984,0.378050520430078,0.371329874918799,0.380486541339097,0.350946940087674,0.372061176368118,0.386351829656267,NA,0.128215803399881,0.113107401852399,0.092775732070055,0.11267156601274,0.0907252277410203,0.114268479333412,0.0991273338552076
"unadjusted",0.144947982620353,1.65725051947403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0144421930219718,0.581209922589382,NA,0.35604692822429,0.370962982573985,0.36398892324778,0.344019428693733,0.359164422651466,0.340086261571899,0.345012587433377,NA,0.0926943063090413,0.0793276314430916,0.0975051494272142,0.114193364170527,0.102909259597278,0.105032858635156,0.0914008537508482,NA,0.342872777504069,0.378039027220555,0.371324009225443,0.380481359425273,0.350940444732556,0.372042316289618,0.386338905236307,NA,0.128204340025105,0.113097848083953,0.092776321072383,0.112651506868472,0.090703581429554,0.11424790958215,NA
"two_step_lasso_X",-0.0144297394354892,0.58123344125848,NA,0.356063832468952,0.370987351444015,0.363997375279869,0.344028328885165,0.359177481870859,0.340084923930666,0.34502169817842,NA,0.0927008644439561,0.0793342562472095,0.0975116633609849,0.11419923081145,0.102915612841297,0.105051289057695,0.0914014812994153,NA,0.342890273351984,0.378050520430078,0.371329874918799,0.380486541339097,0.350946940087674,0.372061176368118,0.386351829656267,NA,0.128215803399881,0.113107401852399,0.092775732070055,0.11267156601274,0.0907252277410203,0.114268479333412,0.0991273338552076
"two_step_lasso_union",-0.0144297394354892,0.58123344125848,NA,0.356063832468952,0.370987351444015,0.363997375279869,0.344028328885165,0.359177481870859,0.340084923930666,0.34502169817842,NA,0.0927008644439561,0.0793342562472095,0.0975116633609849,0.11419923081145,0.102915612841297,0.105051289057695,0.0914014812994153,NA,0.342890273351984,0.378050520430078,0.371329874918799,0.380486541339097,0.350946940087674,0.372061176368118,0.386351829656267,NA,0.128215803399881,0.113107401852399,0.092775732070055,0.11267156601274,0.0907252277410203,0.114268479333412,0.0991273338552076
