"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing","Z27_missing"
"fully_adjusted",-0.00451084695420884,0.538257090399793,NA,0.378703469552092,0.439917012558099,0.363181493448948,0.337391728009842,0.342015015582441,0.355802247361158,0.370123926022308,NA,0.118970133057944,0.0705849799386557,0.125195928877637,0.09213223359647,0.10944352838522,0.0466597010509772,0.100171024815883,NA,0.384420155801844,0.355739613608761,0.347714856614468,0.375509923572684,0.36818710190762,0.347096222636649,0.322317586931306,NA,0.0776682584933461,0.142576175561243,0.160484124479557,0.120093365738069,0.0882344773393712,0.168187923948243,0.147393840618641,-0.0573250217608719,-0.0692583083601056
"unadjusted",-0.000483507706357256,1.63207514766138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00576719992393782,0.536458343786997,NA,0.378070397383681,0.43998327293881,0.362200936406466,0.337260870464213,0.342051052009968,0.355239513409106,0.369777041212753,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383315317385516,0.354520106997684,0.347472199103852,0.37551309984399,0.367623250527441,0.346639913485028,0.321619572125516,NA,NA,NA,0.160258269567852,NA,NA,0.167459596452747,0.147434417828095,NA,NA
"two_step_lasso_X",0.000312802409354631,0.536222226000762,NA,0.394188541598184,0.457093155320235,0.374415035411936,0.346696093199527,0.35360175854538,0.3630380939174,0.373873934447988,NA,0.130751032430111,0.0763712564326013,0.132258709056706,0.0969000773908698,0.116386804824197,0.0605735653398127,0.106596005012033,NA,0.399150731239206,NA,NA,NA,NA,NA,0.335409165376936,NA,NA,NA,0.16932972519825,NA,NA,NA,0.154132248474404,NA,NA
"two_step_lasso_union",-0.00747102097367612,0.538365297999913,NA,0.378316304365865,0.439468356358426,0.362981299429435,0.33725451134337,0.341944505498708,0.355661979789053,0.369997853902319,NA,0.118857325961997,0.0703779945625158,0.125172845597574,0.092103233349962,0.109239894181532,0.0466520231617945,0.0997013592730435,NA,0.384181044323123,0.355072097678202,0.3474320587615,0.375334603659113,0.368004416117757,0.346508513243579,0.321898717395725,NA,0.0776572988855008,NA,0.160486535899009,0.119476408951578,NA,0.16731993674578,0.147109765641561,-0.0570806394866327,-0.0665067199731253
