"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",-0.0532290476918735,0.567220576086187,NA,0.357717104322541,0.356095880792763,0.342813157434317,0.372769945928284,0.390281429383319,0.368255073254168,0.360412802296055,NA,0.0896299112445307,0.0930511857071534,0.113294622577542,0.123347752683441,0.0907821675062486,0.0880178572527889,0.0692713100674977,NA,0.335884856607735,0.414307515617271,0.299573581457403,0.376751972212586,0.362408717941672,0.374552740275385,0.40850802102738,NA,0.103754416963461,0.0941624022296333,0.0737115512768135,0.0856299272799714,0.0901903113496016,0.170899514822571,0.1686280242259
"unadjusted",-0.00887204163872823,1.68264437459446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0532606468687275,0.566315449558814,NA,0.357647770722078,0.355988471117451,0.342750436944554,0.372720539752368,0.390125247576771,0.368122737289929,0.360324176223706,NA,NA,0.0929754256951884,0.113324321282108,0.123153435282189,NA,0.0879158811898951,NA,NA,0.335700850340154,0.414311890215406,0.299385449714782,0.376570852043514,0.362168763288698,0.374344036021614,0.408290766617321,NA,0.103603033429274,NA,NA,NA,NA,0.170605082819565,0.1683272195332
"two_step_lasso_X",-0.0553380342390801,0.566819786187382,NA,0.359095121230433,0.354962531378542,0.342531979638422,0.37431639689618,0.395802878343669,0.370809339680512,0.362171274183802,NA,0.0915949775295989,0.094584037417926,0.113445541824454,0.12879956934197,0.0941482402094309,0.0900382584589975,0.0705969805783633,NA,0.337752968385973,0.415557265638211,0.302605083710626,0.376749369025889,0.36354884675547,NA,0.407613591942872,NA,0.105482342240037,0.0937916958501498,0.0765540033392975,0.0880672443740954,0.0932052740588966,0.173396754796551,0.168147423367818
"two_step_lasso_union",-0.0532290476918736,0.567220576086187,NA,0.357717104322541,0.356095880792762,0.342813157434317,0.372769945928284,0.390281429383319,0.368255073254169,0.360412802296055,NA,0.0896299112445307,0.0930511857071533,0.113294622577543,0.123347752683441,0.0907821675062486,0.088017857252789,0.0692713100674977,NA,0.335884856607735,0.414307515617271,0.299573581457403,0.376751972212586,0.362408717941672,0.374552740275386,0.40850802102738,NA,0.103754416963461,0.0941624022296333,0.0737115512768134,0.0856299272799715,0.0901903113496017,0.170899514822571,0.1686280242259
