"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing","Z27_missing"
"fully_adjusted",-0.0141705478712783,0.538277584604228,NA,0.377486123959107,0.442263745370713,0.362927209877171,0.338263172994122,0.341652811943482,0.351113628658831,0.367975967399239,NA,0.117310622581028,0.0686926164872323,0.124673673057616,0.0940007242644437,0.112397975259851,0.0492541492161154,0.100292250802765,NA,0.38642148836909,0.358051100955057,0.347184776811871,0.375224547476244,0.365809685359317,0.349470957734806,0.327400692511578,NA,0.139269853135708,0.092548739168119,0.159941993107933,0.118743683975043,0.0861309763906348,0.169666658263315,0.147038266241197,0.0638757234431787,-0.164729857289983
"unadjusted",-0.000483507706357256,1.63207514766138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",-0.0202122853132558,0.537271767836874,NA,0.376388187574315,0.441955057693284,0.362801543686211,0.337981281378346,0.341598040340914,0.350398279988399,0.367973236085931,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384812263412161,0.357541311111544,0.347686718095035,0.374721099964043,0.365642920632779,0.34923781508905,0.32611678578399,NA,NA,NA,0.159405499626718,NA,NA,0.16925338050963,0.146758033503027,NA,NA
"two_step_lasso_X",-0.00457779063305993,0.5372829833688,NA,0.387628811508188,0.453931997236919,0.367779079465581,0.344962737977796,0.347026272436496,0.356974548149977,0.368003786561945,NA,0.123702102387964,0.0721319394969784,0.129777835198777,0.0987780897766125,0.112071030776885,0.0596612287738412,0.103257172125928,NA,0.396905093408282,0.371738580320023,NA,0.384441168837733,NA,NA,0.333460935608133,NA,0.144369328062936,NA,0.173340745200759,NA,NA,NA,0.149830088800717,NA,NA
"two_step_lasso_union",-0.0167467900839653,0.538328999767738,NA,0.377206647935065,0.442014677163594,0.362654337146669,0.338125631967992,0.341260640637188,0.350934366046756,0.368064685017713,NA,0.117198342142666,0.0687303741915231,0.124369036415411,0.0936094833519096,0.112160385396059,0.0491190508234882,0.0996799501761571,NA,0.386381854555327,0.357856740505151,0.346999064158131,0.374900126483793,0.36550494082826,0.349005642806557,0.326769854251103,NA,0.139031525783965,NA,0.159773407567687,0.118183991282126,NA,0.169304007942034,0.147289931802601,0.0634188992156383,NA
