"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z26_missing"
"fully_adjusted",0.0109850266536801,0.570952112210084,NA,0.345165677149125,0.358216628749073,0.352991114185796,0.368828919518255,0.314710696042888,0.344296479419049,0.349188221747982,NA,0.0696888952754006,0.0423790083150554,0.12366650212817,0.0844849261399821,0.077380911131982,0.132891305891341,0.0687414349266544,NA,0.343482813062444,0.307314837838943,0.359621187906086,0.398241171846735,0.378046318399159,0.306589715200667,0.465372625641485,NA,0.0926476524446458,0.125435497021804,0.0713679622314402,0.197598679734581,0.146974900318186,0.130979007733386,0.0991645247585435,-0.101354292551285
"unadjusted",-0.0161200741883353,1.64401079794647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.0154730682932805,0.567654087825231,NA,0.345359060613363,0.358527694107139,0.352013486404267,0.368216440349781,0.314443116571002,0.344263482604952,0.349181588509003,NA,NA,NA,0.123082113988319,NA,NA,0.132466103469464,NA,NA,0.342877165812268,0.307083971869476,0.358075088320771,0.398209029904031,0.376881065235777,0.306604509914629,0.464401074322989,NA,NA,0.124420471615274,0.0697135311173392,0.196457747091368,NA,NA,NA,NA
"two_step_lasso_X",-0.0166079373592676,0.570342634313096,NA,0.348034256093415,0.359099336069117,0.357521331584549,0.370767664140577,0.317312468399295,0.347826290098267,0.351394457985126,NA,0.0715140858177486,0.0435248675141333,0.125421138488145,0.0900189195712766,0.0819093436812533,0.133690278391254,0.0689833303547214,NA,0.347245159921269,0.307900077409273,0.362307651288269,0.400863821717167,0.378742527136716,0.309469398946016,NA,NA,NA,0.125249478420987,0.0740589648225886,NA,NA,0.133769189431477,NA,NA
"two_step_lasso_union",0.0108590435800618,0.571044904900053,NA,0.344930013497779,0.35819011963334,0.352622413967806,0.36865996132258,0.314515846371819,0.344086032930843,0.349101798880448,NA,0.0691886793390887,0.0420986445771686,0.123340319173088,0.0840836476701787,0.0770105071720811,0.132544422529627,0.0680829786105632,NA,0.343134174508778,0.307315994186824,0.359403232962248,0.398031266469027,0.37756541363161,0.306395305377649,0.464947343712675,NA,0.0922873214744404,0.125222620278092,0.0709060884646643,0.197169979624264,NA,0.130601478031812,NA,NA
