"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.00613419901199352,0.591344274507932,NA,0.362726728876478,0.359059458573769,0.370854543152533,0.355485171924747,0.369912010684386,0.344233464537061,0.351676286187973,NA,0.0788446457962347,0.124455041231582,0.077865737810094,0.0749010389888637,0.0943844033998623,0.105627150410521,0.0978784469220107,NA,0.375419763705911,0.327789449453918,0.36051503600644,0.358908488392007,0.372914065050993,0.371505748966482,0.377514063435935,NA,0.106466966096044,0.0996087960134417,0.105837637094631,0.100553134068722,0.128243616090158,0.0993214306738219,0.0889793778466291
"unadjusted",0.149931134229611,1.64926805615888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00614770895883399,0.591186706741252,NA,0.362702735378421,0.359040184973012,0.370813495715911,0.355429348833851,0.3698919236515,0.344212436204747,0.351657233397124,NA,0.0788254981496276,NA,NA,0.0749049687364655,0.0943621294440058,NA,0.0978723291654783,NA,0.375370009380322,0.327722716119224,0.360484694969203,0.358868463808446,0.372877374744653,0.371467495999077,0.3774703147611,NA,0.106445676519814,0.0995733737609113,NA,0.100541285548754,0.128217443969555,0.0992698662577963,NA
