"","(Intercept)","X","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32"
"fully_adjusted",0.00533428448744939,0.598909750866989,NA,0.343533329161335,0.368987747585531,0.360211689848191,0.366862958246132,0.364587256063288,0.360083141963917,0.32068893641743,NA,0.0880551052661224,0.0931140970002307,0.105313282238075,0.0800466329766919,0.0732121489199575,0.0856864053311222,0.0977318064022923,NA,0.368413463355378,0.378053903008791,0.403288796384842,0.382625894829873,0.343203937196878,0.367422764861245,0.338858664030993,NA,0.0941597731955975,0.111521716568084,0.0960874321684465,0.12081620048742,0.117383396014617,0.12452808026374,0.103990574655853
"unadjusted",0.127045927174461,1.65856471000286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"two_step_lasso",0.00533428448744939,0.598909750866989,NA,0.343533329161335,0.368987747585531,0.360211689848191,0.366862958246132,0.364587256063288,0.360083141963917,0.32068893641743,NA,0.0880551052661224,0.0931140970002307,0.105313282238075,0.0800466329766919,0.0732121489199575,0.0856864053311222,0.0977318064022923,NA,0.368413463355378,0.378053903008791,0.403288796384842,0.382625894829873,0.343203937196878,0.367422764861245,0.338858664030993,NA,0.0941597731955975,0.111521716568084,0.0960874321684465,0.12081620048742,0.117383396014617,0.12452808026374,0.103990574655853
